COMPNOS,NatureCode,INCIDENT_TYPE_DESCRIPTION,MAIN_CRIMECODE,REPTDISTRICT,REPORTINGAREA,FROMDATE,WEAPONTYPE,Shooting,DOMESTIC,SHIFT,Year,Month,DAY_WEEK,UCRPART,X,Y,STREETNAME,XSTREETNAME,Latitude,Longitude,Latitude_Fixed,Longitude_Fixed
120428724,IVPREM,DISORDERLY,24xx,B2,315,07/11/2012 10:40:00 PM,Unarmed,No,No,First,2012,7,Wednesday,Part Two,768048.9904,2939721.52,WAUMBECK ST,,(42.31400135, -71.08633955),42.31400135, -71.08633955
120431495,IVPER ,DISORDERLY,24xx,B3,437,07/13/2012 02:41:00 PM,Knife,No,No,Day,2012,7,Friday,Part Two,771005.2327,2930486.96,DARLINGTON ST,NORFOLK ST,(42.28862136, -71.07557956),42.28862136, -71.07557956
120432587,ABRPT ,DISORDERLY,24xx,E18,522,07/14/2012 12:29:00 AM,Unarmed,No,No,Last,2012,7,Saturday,Part Two,757605.5093,2917060.857,HYDE PARK AV,,(42.25195136, -71.12531955),42.25195136, -71.12531955
120432681,ARREST,DISORDERLY,24xx,B2,291,07/14/2012 12:42:00 AM,Unarmed,No,No,Last,2012,7,Saturday,Part Two,766393.6581,2944822.794,HIGHLAND ST,,(42.32802135, -71.09236955),42.32802135, -71.09236955
120433529,ROBRPT,DISORDERLY,24xx,C11,347,07/14/2012 12:38:00 PM,Unarmed,No,No,Day,2012,7,Saturday,Part Two,775110.721,2937115.057,HECLA ST,,(42.30675215, -71.06028047),42.30675215, -71.06028047
120435257,ARREST,DISORDERLY,24xx,E18,518,07/15/2012 02:44:00 AM,Unarmed,No,No,Last,2012,7,Sunday,Part Two,757957.4309,2915197.248,GLENWOOD AV,,(42.2468332, -71.12405003),42.2468332, -71.12405003
120439533,PARTY ,DISORDERLY,24xx,C6,256,07/15/2012 06:20:00 AM,Other,No,No,Last,2012,7,Sunday,Part Two,780565.8978,2941094.309,SOUTH POINT DR,,(42.31759245, -71.0400345),42.31759245, -71.0400345
120436192,ARREST,DISORDERLY,24xx,E13,0,07/15/2012 05:27:00 PM,Unarmed,No,No,First,2012,7,Sunday,Part Two,764765.4479,2940296.197,ATHERTON ST,WASHINGTON ST,(42.31562136, -71.09846955),42.31562136, -71.09846955
120436459,MVA   ,DISORDERLY,24xx,C11,352,07/15/2012 08:02:00 PM,Other,No,No,First,2012,7,Sunday,Part Two,773860.6766,2934837.991,JOSEPHINE ST,,(42.30052136, -71.06494457),42.30052136, -71.06494457
120438436,ARREST,DISORDERLY,24xx,D4,171,07/16/2012 12:00:00 PM,Unarmed,No,No,Day,2012,7,Monday,Part Two,771325.3054,2947669.374,HARRISON AV,,(42.33576635, -71.07407956),42.33576635, -71.07407956
120438856,SSTOP ,DISORDERLY,24xx,E13,645,07/16/2012 08:30:00 PM,Unarmed,No,No,First,2012,7,Monday,Part Two,760530.1714,2939052.183,SEAVERNS AV,CENTRE ST,(42.31226136, -71.11414955),42.31226136, -71.11414955
120441032,PKNIFE,DISORDERLY,24xx,B2,309,07/17/2012 06:30:00 PM,Unarmed,No,No,First,2012,7,Tuesday,Part Two,766804.8797,2942317.77,MARTIN LUTHER KING BLVD,,(42.32114205, -71.09089327),42.32114205, -71.09089327
120443550,INVEST,DISORDERLY,24xx,E13,651,07/18/2012 05:30:00 PM,Unarmed,No,No,First,2012,7,Wednesday,Part Two,760403.9998,2936445.981,SOUTH ST,,(42.30511135, -71.11465955),42.30511135, -71.11465955
120443395,TRANSP,DISORDERLY,24xx,C6,915,07/18/2012 07:00:00 PM,Unarmed,No,No,First,2012,7,Wednesday,Part Two,777547.0987,2945761.175,PILSUDSKI WY,,(42.33044263, -71.05110548),42.33044263, -71.05110548
120446481,ARREST,DISORDERLY,24xx,D4,150,07/20/2012 01:22:00 AM,Unarmed,No,No,Last,2012,7,Friday,Part Two,770930.358,2951474.633,DARTMOUTH ST,,(42.3462135, -71.07547022),42.3462135, -71.07547022
