COMPNOS,NatureCode,INCIDENT_TYPE_DESCRIPTION,MAIN_CRIMECODE,REPTDISTRICT,REPORTINGAREA,FROMDATE,WEAPONTYPE,Shooting,DOMESTIC,SHIFT,Year,Month,DAY_WEEK,UCRPART,X,Y,STREETNAME,XSTREETNAME,Geo,Latitude,Longitude,Latitude_Fixed,Longitude_Fixed,postcode
142023329,ARREST,DISORDERLY,24xx,A1,0,8/27/2014 4:45,Unarmed,No,No,Last,2014,8,Wednesday,Part Two,775102.6197,2955013.727,WASHINGTON ST,,"42.35586683, -71.05996907",(42.35586683, -71.05996907),42.35586683,-71.05996907,2108
142032069,ARREST,DISORDERLY,24xx,A1,0,9/23/2014 0:45,Unarmed,No,No,Last,2014,9,Tuesday,Part Two,775102.6197,2955013.727,WASHINGTON ST,,"42.35586683, -71.05996907",(42.35586683, -71.05996907),42.35586683,-71.05996907,2108
120784122,IVPER ,DISORDERLY,24xx,A1,78,12/15/2012 1:10,Unarmed,No,No,Last,2012,12,Saturday,Part Two,775926.8211,2956847.249,UNION ST,,"42.36088634, -71.05688456",(42.36088634, -71.05688456),42.36088634,-71.05688456,2108
140329662,FIGHT ,DISORDERLY,24xx,A1,93,5/27/2014 0:15,Unarmed,No,No,Last,2014,5,Tuesday,Part Two,775926.8211,2956847.249,UNION ST,,"42.36088634, -71.05688456",(42.36088634, -71.05688456),42.36088634,-71.05688456,2108
120614182,ARREST,DISORDERLY,24xx,A1,93,9/30/2012 0:49,Unarmed,No,No,Last,2012,9,Sunday,Part Two,775856.5178,2957060.42,UNION ST,,"42.36147229, -71.05714058",(42.36147229, -71.05714058),42.36147229,-71.05714058,2108
130025373,IVPER ,DISORDERLY,24xx,A1,101,1/13/2013 0:10,Unarmed,No,No,Last,2013,1,Sunday,Part Two,777022.7129,2955994.982,MILK ST,,"42.35853201, -71.05284634",(42.35853201, -71.05284634),42.35853201,-71.05284634,2109
142046137,ARREST,DISORDERLY,24xx,A1,0,11/5/2014 15:00,Unarmed,No,No,Day,2014,11,Wednesday,Part Two,777022.7129,2955994.982,MILK ST,,"42.35853201, -71.05284634",(42.35853201, -71.05284634),42.35853201,-71.05284634,2109
130695747,SEXOFF,DISORDERLY,24xx,A1,82,11/1/2013 6:09,Unarmed,No,No,Last,2013,11,Friday,Part Two,776258.1643,2953670.576,ATLANTIC AV,,"42.35216476, -71.05571983",(42.35216476, -71.05571983),42.35216476,-71.05571983,2111
142004222,ARREST,DISORDERLY,24xx,A1,0,6/29/2014 19:00,Unarmed,No,No,First,2014,6,Sunday,Part Two,773963.6495,2954131.25,TREMONT ST,,"42.35346134, -71.06419956",(42.35346134, -71.06419956),42.35346134,-71.06419956,2111
120754552,ARREST,DISORDERLY,24xx,A1,93,12/2/2012 0:30,Unarmed,No,No,Last,2012,12,Sunday,Part Two,775967.9099,2956741.778,UNION ST,NORTH ST,"42.36059634, -71.05673456",(42.36059634, -71.05673456),42.36059634,-71.05673456,2113
130368807,ARREST,DISORDERLY,24xx,A1,91,6/17/2013 12:15,Unarmed,No,No,Day,2013,6,Monday,Part Two,776522.8825,2957861.645,PARMENTER ST,HANOVER ST,"42.36366135, -71.05465957",(42.36366135, -71.05465957),42.36366135,-71.05465957,2113
130799032,IVPER ,DISORDERLY,24xx,A1,64,12/20/2013 0:47,Other,No,No,Last,2013,12,Friday,Part Two,772212.3098,2957037.798,CHARLES ST,,"42.36146134, -71.07062456",(42.36146134, -71.07062456),42.36146134,-71.07062456,2114
142023989,ARREST,DISORDERLY,24xx,A1,0,8/29/2014 0:45,Unarmed,No,No,Last,2014,8,Friday,Part Two,772212.3098,2957037.798,CHARLES ST,,"42.36146134, -71.07062456",(42.36146134, -71.07062456),42.36146134,-71.07062456,2114
142054758,ARREST,DISORDERLY,24xx,A1,0,12/5/2014 0:45,Unarmed,No,No,Last,2014,12,Friday,Part Two,772212.3098,2957037.798,CHARLES ST,,"42.36146134, -71.07062456",(42.36146134, -71.07062456),42.36146134,-71.07062456,2114
,ADMRPT,Disorderly Conduct,24xx,A1,75,7/13/2015 0:00,None,No,No,,2015,7,Monday,Part Two,774631,2960000,PORTLAND ST,NULL,"42.3642384063724, -71.0616551559548",(42.3642384063724, -71.0616551559548),42.36423841,-71.06165516,2114
120752567,ARREST,DISORDERLY,24xx,A1,75,12/1/2012 2:00,Knife,No,No,Last,2012,12,Saturday,Part Two,774629.9723,2958072.32,PORTLAND ST,,"42.36426634, -71.06165955",(42.36426634, -71.06165955),42.36426634,-71.06165955,2114
142059466,FIGHT,DISORDERLY,24xx,A1,0,12/21/2014 2:39,Unarmed,No,No,Last,2014,12,Sunday,Part Two,774629.9723,2958072.32,PORTLAND ST,,"42.36426634, -71.06165955",(42.36426634, -71.06165955),42.36426634,-71.06165955,2114
120690131,IVPER ,DISORDERLY,24xx,A1,0,11/1/2012 21:25,Unarmed,No,No,First,2012,11,Thursday,Part Two,774746.5282,2958530.278,CAUSEWAY ST,CANAL ST,"42.36552135, -71.06121957",(42.36552135, -71.06121957),42.36552135,-71.06121957,2114
120700722,ABIP  ,DISORDERLY,24xx,A1,61,11/6/2012 20:14,Unarmed,No,No,First,2012,11,Tuesday,Part Two,774929.6013,2958666.059,CAUSEWAY ST,,"42.36589134, -71.06053956",(42.36589134, -71.06053956),42.36589134,-71.06053956,2114
140162307,ARREST,DISORDERLY,24xx,D4,146,3/17/2014 2:20,Unarmed,No,No,Last,2014,3,Monday,Part Two,769223.4913,2951173.874,HUNTINGTON AV,W NEWTON ST,"42.34541135, -71.08178956",(42.34541135, -71.08178956),42.34541135,-71.08178956,2116
142015715,ARREST,OPERATING UNDER INFLUENCE,21xx,A1,0,8/3/2014 3:40,Unarmed,No,No,Last,2014,8,Sunday,Part Two,773949.8772,2952064.87,WASHINGTON ST,PINE ST,"42.34779135, -71.06428957",(42.34779135, -71.06428957),42.34779135,-71.06428957,2116
142052298,ARREST,DISORDERLY,24xx,D4,0,11/25/2014 10:30,Unarmed,No,No,Day,2014,11,Tuesday,Part Two,771343.5626,2952133.701,CLARENDON ST,,"42.34801634, -71.07392956",(42.34801634, -71.07392956),42.34801634,-71.07392956,2116
130729572,ARREST,DISORDERLY,24xx,A1,126,11/17/2013 2:20,Unarmed,No,No,Last,2013,11,Sunday,Part Two,773330.1167,2952735.905,CHARLES ST S,WARRENTON ST,"42.34964135, -71.06656957",(42.34964135, -71.06656957),42.34964135,-71.06656957,2116
120710261,FIGHT ,DISORDERLY,24xx,A1,126,11/11/2012 2:05,Unarmed,No,No,Last,2012,11,Sunday,Part Two,773257.5033,2953194.716,STUART ST,CHARLES ST S,"42.35090135, -71.06682957",(42.35090135, -71.06682957),42.35090135,-71.06682957,2116
120759308,ARREST,DISORDERLY,24xx,A1,0,12/4/2012 9:09,Unarmed,No,No,Day,2012,12,Tuesday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
130166364,INVEST,DISORDERLY,24xx,A1,111,3/21/2013 13:00,Unarmed,No,No,Day,2013,3,Thursday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
130361004,DISTRB,DISORDERLY,24xx,A1,111,6/14/2013 7:11,Unarmed,No,No,Last,2013,6,Friday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
130395260,ARREST,DISORDERLY,24xx,A1,111,6/28/2013 10:32,Unarmed,No,No,Day,2013,6,Friday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
130414150,IVDRUG,DISORDERLY,24xx,A1,117,7/5/2013 16:45,Other,No,No,First,2013,7,Friday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
130731581,ARREST,DISORDERLY,24xx,A1,111,11/18/2013 8:13,Unarmed,No,No,Day,2013,11,Monday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
130766887,ARREST,DISORDERLY,24xx,A1,117,12/5/2013 11:03,Unarmed,No,No,Day,2013,12,Thursday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
140063386,ARREST,DISORDERLY,24xx,A1,0,1/31/2014 12:50,Unarmed,No,No,Day,2014,1,Friday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
