LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,LT,LO,Latitude,Longitude
LB-101567,"FRIDAY AFTERNOON, INC.",SULLIVAN'S TAP,,Also addressed as 168 1/2 Canal Street - In one room on the first floor with kitchen and exit in the rear and cellar for stock.,2013-11-26,2015-12-31,Active,GOPAL,GOP All Alc.,NULL,2:00 AM,2:30 AM,341,"FRIDAY AFTERNOON, INC.",NULL,168,,  Canal ST,Boston,MA,02114,"(0.0, 0.0)",42.365204,-71.060871,42.365204,-71.06087
LB-101568,"TREMONT THEATRE, INC.",SHUBERT THEATRE,,In basement lobby; first floor; second floor and third floor lobbies; cellar for stock.,2013-11-25,2015-12-31,Active,GOPAL,GOP All Alc.,NULL,1:00 AM,1:30 AM,1596,"TREMONT THEATRE, INC.",NULL,265,,  Tremont ST,Boston,MA,02116,"(0.0, 0.0)",42.350398,-71.065398,42.350398,-71.06539
LB-101573,"Saturday Afternoon, Inc.",THE MACHINE/RAM ROD,PATIO CONDITIONS: 11:00 A.M. - 10:00 P.M.;ALCOHOL SERVICE ONLY WITH FOOD;PATIO TO BE STAFFED AT ALL TIMES.,IN TWO ROOMS FIRST FLOOR WITH SERVICE KITCHEN; TWO ROOMS AND STORAGE ROOM IN THE BASEMENT AND  TO INCLUDE AN OUTDOOR SEASONAL PATIO FROM APRIL THROUGH OCTOBER FOR 37 PATRONS ON PRIVATE PROPERTY.,2013-11-25,2015-12-31,Active,GOPAL,GOP All Alc.,NULL,2:00 AM,2:30 AM,1262,"SATURDAY AFTERNOON, INC.",NULL,1254,,  Boylston ST,Boston,MA,02215,"(0.0, 0.0)",42.344878,-71.0958,42.344878,-71.095
LB-101574,EMERSON COLLEGE,EMERSON COLLEGE,CAPACITY BREAKDOWN:FIRST FLOOR: 825 SECOND FLOOR: 498  THIRD FLOOR: 264  FOURTH FLOOR: 424,THE ENTIRE PUBLIC AREA DIRECTLY ACCESSIBLE FROM THE 559 WASHINGTON STREET ENTRANCE INCLUDING THE MAIN THEATRE  THE BLACK BOX  THE SCREENING ROOM AND ALL OF THEIR ASSOCIATED LOBBIES.,2013-11-27,2015-12-31,Active,GOPAL,GOP All Alc.,NULL,1:00 AM,1:30 AM,2011,EMERSON COLLEGE,NULL,543,561,  Washington ST,Boston,MA,02111,"(0.0, 0.0)",42.357511,-71.058219,42.357511,-71.05821
LB-101618,"BERKELEY-CHANDLER, INC.",CHANDLER INN/TROPHY ROOM,(1) Breakfast to be served. (2) Lunches including hot meals to be served from at least 12 to 2:00 P.M. 7 days per week. (3) Dinner including hot meals to be served from at least 6 PM to 9 PM 7 days per week. (4) Food consisting of at least sandwiches to be available at all times that alcoholic beverages are being served. (5) At least 44 seats at least eleven 4 X 4 foot tables to be in place at all times  as per floor plan. (6). No more than eleven seats at the bar.,Unnumbered entrance on Chandler Street for stock in whole of said building. (6. No more than 11 seats at the bar.)   (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.),2013-11-13,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"BERKELEY-CHANDLER, INC.",NULL,22,28,  Chandler ST,Boston,MA,02116,"(0.0, 0.0)",42.34708,-71.070532,42.34708,-71.07053
LB-101626,HUNTINGTON HOTEL CORP.,COLONNADE HOTEL,11:00 A.M. OPENING ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,UNNUMBERED SIDE ENTRANCE; SIDE & REAR EMERGENCY EXITS IN WHOLE OF SAID BLDG WITH AN OUTSIDE PATIO WITH SEATING CAPACITY OF AN ADDITIONAL 40 PATRONS AND TO INCREASE THE INNHOLDER'S LICENSE TO INCLUDE A 20-STORY RESIDENTIAL TOWER  KNOWN AS THE COLONNADE RESIDENCES  & CONTAINING 99 UNITS  CONNECTED BY,2013-11-26,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,2:30 AM,0,HUNTINGTON HOTEL CORP.,NULL,120,,  Huntington AV,Boston,MA,02116,"(0.0, 0.0)",42.345619,-71.080912,42.345619,-71.08091
LB-101632,"BOSTON 1927 LESSEE, INC.",BOSTON PARK PLAZA HOTEL & TOWERS,"1) 11:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH FOR THE HOTEL. 2) The Boston Licensing Board recognizes that Whiskey Blue Boston  LLC d/b/a ""Whiskey Park"" is operating under the Innkeepers All Alcoholic license of Boston Park Plaza as an independent contractor. The Board agrees not to hold Whiskey Park liable for any violations of its Rules and Regulations or statutes of the Commonwealth by Park Plaza management  conversely agrees only to sanction Whiskey Park if it violates Board's Rules  Regulations or statutes of the Commonwealth. Patricia Smith as Manager of Whiskey Park. Whiskey Park was granted permission to provide bottle service.PATIO CONDITIONS: 1) ALCOHOL TO BE SERVED ONLY IN CONJUNCTION WITH FOOD;2) TO BE STAFFED AT ALL TIMES; AND3) OPERATING HOURS OF 6:00 A.M.-12:00 A.M.",@ 30 & 50 Providence Street; 64 Arlington Street: In whole of said building with mini bars in 941 of the guestrooms.  Includes outdoor seasonal (April-October) patio on private property for 30 patrons.  SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF,2013-11-26,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"BOSTON 1927 LESSEE, INC.",NULL,30,50,Providence St,Boston,MA,02116,"(0.0, 0.0)",42.351414,-71.070472,42.351414,-71.07047
LB-101633,ROWES WHARF LIMITED PARTNERSHIP,BOSTON HARBOR HOTEL,1) OUTDOOR SERVICE AREA HOURS OF OPERATION ARE11:00 A.M.-MIDNIGHT. 2) 11:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,IN THE WHOLE OF SAID BUILDING OF THE ATLANTIC AVENUE BUILDING AND THE OUTSIDE AREA TO THE REAR OF 30-70 ROWES WHARF TO THE WATER LINE WITH A 2:00 A.M. RESTRICTION AND AN AREA ON THE GROUND FLOOR OF THE CENTRAL WHARF BUILDING. INCLUDEs AN ANNUAL OUTDOOR SERVICE AREA ON THE SOUTH,2013-11-20,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,ROWES WHARF LIMITED PARTNERSHIP,NULL,70,,Rowes Wh,Boston,MA,02110,"(0.0, 0.0)",42.361311,-71.048291,42.361311,-71.04829
LB-101634,"HILTON MANAGEMENT, LLC",HILTON BOSTON LOGAN AIRPORT,11:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,IN WHOLE OF SAID BUILDING.  SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.,2013-11-26,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"HILTON MANAGEMENT, LLC",NULL,1,,  Hotel DR,East Boston, ,02128,"(0.0, 0.0)",42.367399,-71.023097,42.367399,-71.02309
LB-101636,"FELCOR COPLEY PLAZA LEASING, L.L.C.",FAIRMONT COPLEY PLAZA HOTEL,10:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,IN WHOLE OF SAID BUILDING.  (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.) AND TO INCLUDE A SEASONAL SIDEWALK CAFE FROM APRIL 30TH-NOVEMBER 15TH LOCATED ON A SECTION OF THE PUBLIC SIDEWALK IN FRONT OF 138 ST. JAMES AVENUE FOR 50 PATRONS BETWEEN THE HOURS OF 11:30 A.M. - MIDNIGHT.,2013-11-14,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"FELCOR COPLEY PLAZA LEASING, L.L.C.",NULL,138,150,  Saint James AV,Boston,MA,02116,"(0.0, 0.0)",42.349051,-71.076177,42.349051,-71.07617
